order_id,date,product,qty,price,channel,customer_note
O-1001,2026-08-28,Coffee,10,60,Store,regular order
O-1002,2026-08-28,Cake,5,80,Online,
O-1001,2026-08-28,Coffee,10,60,Store,duplicate row
O-1003,2026/08/29,Tea,4,45,Store,different date format
O-1004,2026-08-29,Coffee,-2,60,Store,return entered as negative qty
O-1005,29 Aug 2026,Coffe,3,60,Online,product typo
O-1006,2026-08-29,Cookie,,30,Online,missing qty
O-1007,2026-08-30,Sandwich,7,FREE,Store,free campaign price as text
O-1008,2026-08-30,Cake,500,80,Store,possible outlier qty
O-1009,2026-08-30,Tea,8,45,Online,normal
O-1010,2026-08-31,,2,100,Store,missing product
O-1011,2026-08-31,Coffee,6,60,Online,normal
